기준년월,지역명,읍면동명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,세종특별자치시,도담동,11,고엽제후유증,고엽제후유증,23,16,7
2025-03,세종특별자치시,도담동,12,무공수훈자,무공수훈자,33,2,31
2025-03,세종특별자치시,도담동,13,보국수훈자,보국수훈자,53,51,2
2025-03,세종특별자치시,도담동,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,도담동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,도담동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,도담동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,도담동,18,순직·공상공무원,순직공무원,7,0,7
2025-03,세종특별자치시,도담동,19,순직·공상공무원,공상공무원,5,3,2
2025-03,세종특별자치시,도담동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,도담동,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,도담동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,도담동,23,지원대상자,지원공상군경,1,1,0
2025-03,세종특별자치시,도담동,24,지원대상자,지원순직공무원,1,0,1
2025-03,세종특별자치시,도담동,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,도담동,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,도담동,27,보훈보상대상자,재해부상군경,4,4,0
2025-03,세종특별자치시,도담동,28,보훈보상대상자,재해사망공무원,1,0,1
2025-03,세종특별자치시,도담동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,도담동,30,참전유공자,6·25전쟁,2,2,0
2025-03,세종특별자치시,도담동,31,참전유공자,월남전쟁,43,43,0
2025-03,세종특별자치시,도담동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,도담동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,15,15,0
2025-03,세종특별자치시,도담동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,세종특별자치시,도담동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,도담동,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,세종특별자치시,도담동,37,5.18민주유공자,5·18희생자,2,2,0
2025-03,세종특별자치시,도담동,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,도담동,39,특수임무유공자,특수임무부상자,0,0,0
2025-03,세종특별자치시,도담동,40,특수임무유공자,특수임무공로자,1,1,0
2025-03,세종특별자치시,도담동,41,중·장기복무제대군인,중·장기복무제대군인,132,132,0
2025-03,세종특별자치시,반곡동,1,순국선열,건국훈장,1,0,1
2025-03,세종특별자치시,반곡동,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,반곡동,3,순국선열,대통령표창,0,0,0
2025-03,세종특별자치시,반곡동,4,애국지사,건국훈장,1,0,1
2025-03,세종특별자치시,반곡동,5,애국지사,건국포장,0,0,0
2025-03,세종특별자치시,반곡동,6,애국지사,대통령표창,0,0,0
2025-03,세종특별자치시,반곡동,7,전몰·전상·순직·공상군경,전몰군경,3,0,3
2025-03,세종특별자치시,반곡동,8,전몰·전상·순직·공상군경,전상군경,14,4,10
2025-03,세종특별자치시,반곡동,9,전몰·전상·순직·공상군경,순직군경,3,0,3
2025-03,세종특별자치시,반곡동,10,전몰·전상·순직·공상군경,공상군경,34,32,2
2025-03,세종특별자치시,반곡동,11,고엽제후유증,고엽제후유증,6,2,4
2025-03,세종특별자치시,반곡동,12,무공수훈자,무공수훈자,12,1,11
2025-03,세종특별자치시,반곡동,13,보국수훈자,보국수훈자,22,20,2
2025-03,세종특별자치시,반곡동,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,반곡동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,반곡동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,반곡동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,반곡동,18,순직·공상공무원,순직공무원,4,0,4
2025-03,세종특별자치시,반곡동,19,순직·공상공무원,공상공무원,2,1,1
2025-03,세종특별자치시,반곡동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,반곡동,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,반곡동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,반곡동,23,지원대상자,지원공상군경,2,2,0
